"State","Gender","fit","lwr","upr"
"Alabama","Female","78.6848616519651","76.7858257795646","80.6396331474645"
"Alabama","Male","72.8070078579953","70.5799232018796","75.1306947821634"
"Alabama","Total","75.7585449186834","73.8474288952417","77.7242003953481"
"Alaska","Female","81.4144134616239","78.1088131612563","84.7804049542061"
"Alaska","Male","76.651370853772","72.9778779941548","80.4905470492803"
"Alaska","Total","78.8839182329257","75.819470077073","81.9795245021248"
"Arizona","Female","83.1814588351837","81.293916290482","85.0768875075061"
"Arizona","Male","78.2936684312564","75.9038184044404","80.7622164249234"
"Arizona","Total","80.6984249498354","78.6486574968058","82.7701051268917"
"Arkansas","Female","78.8770023314487","76.898862139144","80.9509289601249"
"Arkansas","Male","73.5129737529985","71.2479832948933","75.9481527311421"
"Arkansas","Total","76.1733001189892","74.2516137006577","78.1942745286562"
"California","Female","84.6940818354303","83.0195794209572","86.427550131972"
"California","Male","79.8654018847145","77.9124509745322","81.8661893727039"
"California","Total","82.2989713167763","80.4859129418841","84.1648409059879"
"Colorado","Female","83.3017729812153","81.4861460404362","85.1852953617031"
"Colorado","Male","79.0606225669322","76.940332552216","81.2390113252703"
"Colorado","Total","81.1625826869155","79.2792158546242","83.104760402094"
"Connecticut","Female","83.6781364223432","81.7535482708021","85.5929651778546"
"Connecticut","Male","78.9284989965884","76.4427098960461","81.4333797748014"
"Connecticut","Total","81.3577978567813","79.2934992179901","83.4149232542667"
"Delaware","Female","81.5907377896549","78.9173880147987","84.2663053722201"
"Delaware","Male","76.3514766815499","73.2851283592074","79.5605321240014"
"Delaware","Total","78.9912820236145","76.4340985700877","81.6008115093525"
"District of Columbia","Female","83.6033196770698","79.4434190274768","87.964437949415"
"District of Columbia","Male","78.4442523946926","73.471397828504","83.7363188061753"
"District of Columbia","Total","81.1731543826374","77.0126086482946","85.5327997915973"
"Florida","Female","83.7807974611326","81.6981779656123","85.9471841629136"
"Florida","Male","78.3887609640747","75.8864991156902","80.9721196582163"
"Florida","Total","81.0826344102326","78.8022981137148","83.4413804180643"
"Georgia","Female","80.8871272603948","79.204780492295","82.5801013927463"
"Georgia","Male","76.1515404482399","74.1751412228163","78.1670278463768"
"Georgia","Total","78.560017757305","76.8129735323957","80.3195884439754"
"Hawaii","Female","85.4947745526986","82.9576649696294","88.0883761132428"
"Hawaii","Male","79.3334752862892","76.2355586628641","82.5326877745774"
"Hawaii","Total","82.3689925509564","79.8166939246283","84.9718024192825"
"Idaho","Female","81.6748563834758","79.7280967424168","83.6555656843"
"Idaho","Male","77.8280808849379","75.4733455207294","80.2636235886596"
"Idaho","Total","79.7141371013084","77.791381387747","81.6783536276489"
"Illinois","Female","82.5952156162346","80.825936725326","84.4292839130793"
"Illinois","Male","77.5516961180708","75.4341017555133","79.7728273608473"
"Illinois","Total","80.1070586532812","78.2124624328236","82.0769864720125"
"Indiana","Female","80.0085136450593","78.1286576370958","81.9822905048931"
"Indiana","Male","74.8970931530591","72.8530810448256","77.0660114445487"
"Indiana","Total","77.4496733659046","75.5689089036367","79.4308870885068"
"Iowa","Female","82.0153898638372","80.231434178027","83.8346261993242"
"Iowa","Male","77.2459263179156","75.1382117794282","79.4380966551089"
"Iowa","Total","79.6233978613211","77.7930017959855","81.5036229346251"
"Kansas","Female","81.1419852168631","78.9155690964607","83.4470870818067"
"Kansas","Male","76.3774802804711","73.9352989280876","78.9497490248665"
"Kansas","Total","78.7492313357128","76.547149950168","81.0387769474802"
"Kentucky","Female","78.4220912526089","76.5211493591912","80.4269770980563"
"Kentucky","Male","73.072920780734","70.9002787474035","75.4184965637052"
"Kentucky","Total","75.727151215245","73.7944533752591","77.7826687168058"
"Louisiana","Female","79.9185593599887","77.3761456891323","82.5994547941707"
"Louisiana","Male","73.8640143520119","70.9339712025528","76.9343948844945"
"Louisiana","Total","76.8969949354924","74.2431162633706","79.6816509661979"
"Maine","Female","81.5588839190579","79.0140000495569","84.1368106292841"
"Maine","Male","76.1918513646775","73.4389187454243","78.9723000799081"
"Maine","Total","78.8645504431676","76.4838904721148","81.2826438416457"
"Maryland","Female","82.6203630112728","80.5229184633948","84.7630350964917"
"Maryland","Male","77.3282220753247","74.7020427307511","80.0095975959169"
"Maryland","Total","80.0368098926062","77.7617875467656","82.3504397034933"
"Massachusetts","Female","83.849350588856","81.8684019931585","85.9041378748659"
"Massachusetts","Male","78.8063449546737","76.4599151436972","81.1926739309681"
"Massachusetts","Total","81.4002949300965","79.2869242942332","83.5610536186181"
"Michigan","Female","80.8379937947285","78.9832378274852","82.7343284820319"
"Michigan","Male","76.150546273092","73.9375646305279","78.4397712491881"
"Michigan","Total","78.4961161017171","76.5115559924729","80.5330355400813"
"Minnesota","Female","83.514882718956","81.8260376985624","85.2575864304744"
"Minnesota","Male","79.3101404276113","77.2268912299736","81.4665380926532"
"Minnesota","Total","81.4217406082708","79.6273494548885","83.2741545831807"
"Mississippi","Female","78.2162659204929","75.9876969133249","80.5470946543005"
"Mississippi","Male","72.1071552713251","69.4709235506729","74.9214091095813"
"Mississippi","Total","75.162667027962","72.887886041739","77.5459779653215"
"Missouri","Female","80.6169026915218","78.6225720543621","82.6981961847634"
"Missouri","Male","74.9552292040106","72.5131755973105","77.5361469556989"
"Missouri","Total","77.7775684958799","75.6083779277826","80.0494014027616"
"Montana","Female","81.1304465379098","78.5871210585599","83.6880375755455"
"Montana","Male","76.7391670407127","73.8313882278055","79.7121752396393"
"Montana","Total","78.8779602739087","76.4612373251539","81.3021674057467"
"Nebraska","Female","82.0999422667532","80.0362858900908","84.2688297995529"
"Nebraska","Male","77.7800783438975","75.337405250369","80.3413911500774"
"Nebraska","Total","79.940583449329","77.9115451286654","82.054064594046"
"Nevada","Female","81.3892158056534","79.4032718830834","83.3696552439109"
"Nevada","Male","76.5624028098824","74.133573466261","79.0105060622966"
"Nevada","Total","78.9030840514445","76.8560558509444","80.9327263107684"
"New Hampshire","Female","82.5256315692251","80.1916031234789","84.8427902492187"
"New Hampshire","Male","77.6185716072421","74.7698252125396","80.4439834612811"
"New Hampshire","Total","80.0551473082694","77.6565027717242","82.4351480348353"
"New Jersey","Female","83.6393273311893","81.7641508168008","85.5681676941881"
"New Jersey","Male","78.8451308021653","76.5235623440783","81.2333638786747"
"New Jersey","Total","81.303848789818","79.2651024468533","83.3941616373998"
"New Mexico","Female","81.0743434338133","78.8553047944876","83.3387104992605"
"New Mexico","Male","74.9021374539635","72.2560577621692","77.5927707925228"
"New Mexico","Total","77.9234279780601","75.7293433480325","80.1302133313596"
"New York","Female","84.5302792262678","82.8386225754764","86.2545145544413"
"New York","Male","79.6616062655703","77.7311185981976","81.6329329957875"
"New York","Total","82.181046947371","80.3983522884044","83.9970638689681"
"North Carolina","Female","81.0673099817939","79.4119610727627","82.763904483727"
"North Carolina","Male","76.1587633185128","74.1536249945942","78.2358492510998"
"North Carolina","Total","78.6521466552826","76.9081309664746","80.4433807540925"
"North Dakota","Female","82.728704142369","80.005992965251","85.5194351951987"
"North Dakota","Male","77.7165732142759","74.382500864193","81.1709932590847"
"North Dakota","Total","80.1510691721907","77.4844844260237","82.8634529335685"
"Ohio","Female","79.9453252849394","77.9870948413891","81.9918136485965"
"Ohio","Male","74.8337192764442","72.5511507378276","77.2342979813399"
"Ohio","Total","77.3940726899408","75.3064845967594","79.580588183554"
"Oklahoma","Female","78.8316857184826","76.7558015495723","81.045706564555"
"Oklahoma","Male","73.5001292178679","71.2503467091779","75.8765138663387"
"Oklahoma","Total","76.1348277906818","74.1013415898417","78.2880425491845"
"Oregon","Female","82.2329352037397","80.321505349662","84.2086878320423"
"Oregon","Male","77.9708163416198","75.8537207185985","80.1748343132956"
"Oregon","Total","80.0983791610036","78.2138023956808","82.0451613563164"
"Pennsylvania","Female","81.4811733764363","79.5608563300988","83.4519848835679"
"Pennsylvania","Male","76.1259938591817","73.7753475855613","78.5590515995549"
"Pennsylvania","Total","78.813933876518","76.7024655971115","80.9878008258768"
"Rhode Island","Female","82.7328576098758","79.8453738023862","85.6111511012945"
"Rhode Island","Male","77.6320373964901","74.2835977416463","81.0595939952394"
"Rhode Island","Total","80.2416113563649","77.4543795589216","83.0518637352211"
"South Carolina","Female","80.3306319408579","78.4340033329928","82.2743077765529"
"South Carolina","Male","74.9302245574365","72.6621029324082","77.2729134936465"
"South Carolina","Total","77.6422727534182","75.6897982151613","79.6511198974954"
"South Dakota","Female","81.7639017290934","79.3217702954904","84.283612942617"
"South Dakota","Male","76.8480217883626","73.9261363426949","79.9089269007149"
"South Dakota","Total","79.2631985665214","76.9009991909634","81.6867480877562"
"Tennessee","Female","79.1382863140559","77.3642102360751","80.9976979339709"
"Tennessee","Male","73.855658341006","71.7424779994981","76.1080579037338"
"Tennessee","Total","76.4975008871692","74.6278344849221","78.4641746636895"
"Texas","Female","82.2432700297623","80.7313916264887","83.8539049286584"
"Texas","Male","77.3656192306984","75.6077326962083","79.2416714959141"
"Texas","Total","79.8109481066447","78.1945978277573","81.5316333473205"
"United States","Female","82.1735904964437","80.6441791781626","83.7544429358053"
"United States","Male","77.2275221783867","75.3827324811416","79.1463688566285"
"United States","Total","79.7112929050107","78.0134095825784","81.469537771746"
"Utah","Female","82.0098313501233","80.3557293708862","83.7299795643314"
"Utah","Male","78.6570637820656","76.6966063703287","80.6817714422338"
"Utah","Total","80.3124349778649","78.6569431879953","82.0178246847284"
"Vermont","Female","82.3887288064762","79.6036364356845","85.1565923266471"
"Vermont","Male","77.6026300659312","74.4682840603753","80.7726395230039"
"Vermont","Total","79.9861029959249","77.4034201518316","82.5582579830902"
"Virginia","Female","82.2974022186214","80.5745885512826","84.0632180684453"
"Virginia","Male","77.8344575633502","75.8889413386409","79.8217265574823"
"Virginia","Total","80.0925054853427","78.3072436635345","81.9140182010528"
"Washington","Female","82.9701410722829","81.3118862089003","84.6909439123636"
"Washington","Male","78.8011223979797","76.9582883413206","80.7251626381766"
"Washington","Total","80.8821779972453","79.1994497963859","82.6302636865541"
"West Virginia","Female","77.4911870867404","75.0566424592727","79.9963688363177"
"West Virginia","Male","71.9345599478401","69.1305246492914","74.8690295279141"
"West Virginia","Total","74.6393535107738","72.2324134588832","77.1272487041338"
"Wisconsin","Female","81.9340688520501","80.2282453966764","83.6436781644483"
"Wisconsin","Male","77.5482865430191","75.354582151986","79.8062377972283"
"Wisconsin","Total","79.7306004007502","77.8868324859658","81.5968139644798"
"Wyoming","Female","81.6361441974608","78.311355359347","84.9893650016968"
"Wyoming","Male","76.4497288506023","72.4981817366638","80.4564919100777"
"Wyoming","Total","78.9490400047525","75.807576291701","82.069681832776"
